series,start,end,duration_days,max_spread,mean_spread,threshold
arb_2,2022-10-11,2023-02-14,127,45.28344123927661,29.13101431776529,0.0
arb_2,2023-02-16,2023-02-23,8,5.086143047741132,3.332856599938873,0.0
arb_2,2023-03-13,2023-03-13,1,3.2646366396749045,3.2646366396749045,0.0
arb_2,2023-03-17,2023-03-20,4,6.828384253081424,5.9349929777741295,0.0
arb_2,2023-03-23,2024-02-09,324,38.819690192775056,23.167446684551383,0.0
arb_2,2024-04-11,2024-04-12,2,1.542737755149119,1.1955002480845849,0.0
arb_2,2024-04-24,2024-12-31,252,39.020010200061506,21.400375465464702,0.0
arb_5,2022-10-11,2024-12-31,813,34.17729701391312,21.9603868677648,0.0
arb_10,2022-10-11,2024-12-31,813,43.80301747801684,24.514742655924945,0.0
arb_20,2022-10-11,2024-11-22,774,27.95190265064474,14.313106082391206,0.0
arb_20,2024-11-26,2024-12-11,16,3.175073868035838,1.5608827897245874,0.0
