tenor_bucket,funding_series,correlation,n_obs
2,CIP_basis_USDJPY,0.000486962371846705,469
2,CIP_basis_EURUSD,-0.0014278989904575683,469
2,RRP_bill_wedge,0.003657509529672451,469
2,swap_spread_10y,0.006043083795070498,469
2,Funding_PC,0.0011725915265474974,469
5,CIP_basis_USDJPY,0.020188797563151978,469
5,CIP_basis_EURUSD,0.017953108700867644,469
5,RRP_bill_wedge,-0.011236354102776843,469
5,swap_spread_10y,0.01779582383681652,469
5,Funding_PC,0.01933093764508831,469
10,CIP_basis_USDJPY,-0.026989095687333157,469
10,CIP_basis_EURUSD,-0.02037317914348552,469
10,RRP_bill_wedge,0.032451256972390013,469
10,swap_spread_10y,-0.019586163263903663,469
10,Funding_PC,-0.025431470970770254,469
20,CIP_basis_USDJPY,0.0037410835753782664,469
20,CIP_basis_EURUSD,0.012922272124085109,469
20,RRP_bill_wedge,0.0024199491960057145,469
20,swap_spread_10y,0.022087830275370722,469
20,Funding_PC,0.011968410513529154,469
